MARPP Real personal income and regional price parities by MSA 1
MARPP Real personal income and regional price parities by MSA 1
Metropolitan Statistical Area
GeoFips,GeoName,LineCode,Description,2023
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",7,"  RPPs: Services: Other",98.049
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",8,Implicit regional price deflator,112.391
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",,Real personal income,
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",1,"  Real personal income (millions of constant (2017) dollars)",352688.3
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",2,"  Real per capita personal income (constant (2017) dollars) 2",56050
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",,Regional price parities and implicit price deflator,
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",3,RPPs: All items,100.933
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",4,"  RPPs: Goods",99.758
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",5,"  RPPs: Services: Housing",110.864
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",6,"  RPPs: Services: Utilities",98.092
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",7,"  RPPs: Services: Other",99.004
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",8,Implicit regional price deflator,121.616
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",,Real personal income,
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",1,"  Real personal income (millions of constant (2017) dollars)",14248.4
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",2,"  Real per capita personal income (constant (2017) dollars) 2",51772
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",,Regional price parities and implicit price deflator,
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",3,RPPs: All items,97.170
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",4,"  RPPs: Goods",98.522
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",5,"  RPPs: Services: Housing",91.437
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",6,"  RPPs: Services: Utilities",109.156
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",7,"  RPPs: Services: Other",97.931
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",8,Implicit regional price deflator,117.082
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",,Real personal income,
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",1,"  Real personal income (millions of constant (2017) dollars)",8318.3
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",2,"  Real per capita personal income (constant (2017) dollars) 2",45402
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",,Regional price parities and implicit price deflator,
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",3,RPPs: All items,88.857
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",4,"  RPPs: Goods",95.052
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",5,"  RPPs: Services: Housing",58.244
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",6,"  RPPs: Services: Utilities",89.829
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",7,"  RPPs: Services: Other",98.684
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",8,Implicit regional price deflator,107.064
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",,Real personal income,
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",1,"  Real personal income (millions of constant (2017) dollars)",29941.1
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",2,"  Real per capita personal income (constant (2017) dollars) 2",47569
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",,Regional price parities and implicit price deflator,
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",3,RPPs: All items,91.030
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",4,"  RPPs: Goods",95.793
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",5,"  RPPs: Services: Housing",67.775
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",6,"  RPPs: Services: Utilities",88.211
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",7,"  RPPs: Services: Other",97.839
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",8,Implicit regional price deflator,109.683
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",,Real personal income,
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",1,"  Real personal income (millions of constant (2017) dollars)",169549.7
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",2,"  Real per capita personal income (constant (2017) dollars) 2",68553
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",,Regional price parities and implicit price deflator,
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",3,RPPs: All items,97.620
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",4,"  RPPs: Goods",91.935
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",5,"  RPPs: Services: Housing",126.357
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",6,"  RPPs: Services: Utilities",89.538
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",7,"  RPPs: Services: Other",95.265
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",8,Implicit regional price deflator,117.624
12540,"Bakersfield, CA (Metropolitan Statistical Area)",,Real personal income,
12540,"Bakersfield, CA (Metropolitan Statistical Area)",1,"  Real personal income (millions of constant (2017) dollars)",35193.2
12540,"Bakersfield, CA (Metropolitan Statistical Area)",2,"  Real per capita personal income (constant (2017) dollars) 2",38512
12540,"Bakersfield, CA (Metropolitan Statistical Area)",,Regional price parities and implicit price deflator,
12540,"Bakersfield, CA (Metropolitan Statistical Area)",3,RPPs: All items,102.247
12540,"Bakersfield, CA (Metropolitan Statistical Area)",4,"  RPPs: Goods",104.560
12540,"Bakersfield, CA (Metropolitan Statistical Area)",5,"  RPPs: Services: Housing",88.029
12540,"Bakersfield, CA (Metropolitan Statistical Area)",6,"  RPPs: Services: Utilities",142.746
12540,"Bakersfield, CA (Metropolitan Statistical Area)",7,"  RPPs: Services: Other",104.294
12540,"Bakersfield, CA (Metropolitan Statistical Area)",8,Implicit regional price deflator,123.199
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",,Real personal income,
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",1,"  Real personal income (millions of constant (2017) dollars)",176596.3
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",2,"  Real per capita personal income (constant (2017) dollars) 2",62306
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",,Regional price parities and implicit price deflator,
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",3,RPPs: All items,102.672
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",4,"  RPPs: Goods",102.191
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",5,"  RPPs: Services: Housing",116.912
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",6,"  RPPs: Services: Utilities",110.284
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",7,"  RPPs: Services: Other",98.465
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",8,Implicit regional price deflator,123.711
12620,"Bangor, ME (Metropolitan Statistical Area)",,Real personal income,
12620,"Bangor, ME (Metropolitan Statistical Area)",1,"  Real personal income (millions of constant (2017) dollars)",7622.4
12620,"Bangor, ME (Metropolitan Statistical Area)",2,"  Real per capita personal income (constant (2017) dollars) 2",49078
12620,"Bangor, ME (Metropolitan Statistical Area)",,Regional price parities and implicit price deflator,
12620,"Bangor, ME (Metropolitan Statistical Area)",3,RPPs: All items,91.466
12620,"Bangor, ME (Metropolitan Statistical Area)",4,"  RPPs: Goods",96.562
12620,"Bangor, ME (Metropolitan Statistical Area)",5,"  RPPs: Services: Housing",56.227
12620,"Bangor, ME (Metropolitan Statistical Area)",6,"  RPPs: Services: Utilities",144.817
12620,"Bangor, ME (Metropolitan Statistical Area)",7,"  RPPs: Services: Other",103.025
12620,"Bangor, ME (Metropolitan Statistical Area)",8,Implicit regional price deflator,110.208
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",,Real personal income,
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",1,"  Real personal income (millions of constant (2017) dollars)",16831.5
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",2,"  Real per capita personal income (constant (2017) dollars) 2",72633
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",,Regional price parities and implicit price deflator,
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",3,RPPs: All items,105.815
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",4,"  RPPs: Goods",97.519
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",5,"  RPPs: Services: Housing",124.199
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",6,"  RPPs: Services: Utilities",158.776
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",7,"  RPPs: Services: Other",101.580
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",8,Implicit regional price deflator,127.498
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",,Real personal income,
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",1,"  Real personal income (millions of constant (2017) dollars)",49586.9
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",2,"  Real per capita personal income (constant (2017) dollars) 2",56758
